600362-000768,0.902546,0.615086,0.024747,:,1.623276,0.041161,2.888327
600362-000655,1.040154,0.581730,0.016359,:,1.597703,0.060114,3.933202
600362-000001,1.160229,-0.248571,0.029643,:,1.673100,0.039392,4.030844
600362-000962,0.790151,0.829977,0.027589,:,1.530546,0.049755,3.629128
601166-600362,0.903381,-0.098046,0.014382,:,1.541161,0.057714,3.936083
600219-600060,1.003588,-0.819410,0.020809,:,1.594009,0.060329,5.588906
600837-600048,1.049381,0.198777,0.027468,:,1.641340,0.099696,3.018152
000528-000425,0.846949,0.137059,0.022589,:,1.800417,0.030836,3.338276
601989-000528,0.826469,0.194092,0.028598,:,1.766774,0.051331,3.419382
601168-601006,0.731132,0.227727,0.025097,:,1.756102,0.042529,2.896821
601006-000858,0.960752,-0.629483,0.026904,:,1.613119,0.045921,3.202552
601857-601006,1.166941,-0.295202,0.029132,:,1.702793,0.065281,4.418254
600655-600611,0.859200,0.496759,0.026256,:,1.481569,0.062063,3.494041
600366-000970,0.836318,0.480275,0.027058,:,1.614810,0.081564,2.781625
600547-000758,0.906572,0.708558,0.025593,:,1.722714,0.072966,2.845133
000758-000060,0.964167,0.648584,0.021114,:,1.964028,0.024149,3.623109
600111-000758,0.853976,1.100459,0.026924,:,1.610326,0.036464,2.824870
601169-601168,0.901792,0.479615,0.024240,:,1.399200,0.061178,6.915151
601168-000858,0.879457,-0.717957,0.020927,:,1.660035,0.053706,3.298557
601168-000768,0.964563,-0.474812,0.021439,:,1.604908,0.066250,4.202622
601168-601166,0.971090,-0.530685,0.023439,:,1.634584,0.043055,3.338933
601169-000858,0.902653,-0.468339,0.022785,:,1.555699,0.048726,6.576405
601169-000768,0.904139,-0.025725,0.029130,:,1.672168,0.025616,5.611929
601088-000060,0.931755,1.048083,0.020067,:,1.776738,0.048795,3.954926
601088-000878,1.044976,0.543181,0.020103,:,1.785973,0.070991,3.599058
601088-600104,0.889614,0.380112,0.029634,:,1.599338,0.091313,2.598819
600193-000962,0.743211,0.180713,0.029389,:,1.549051,0.065478,4.046313
600547-000060,0.889705,1.268583,0.028856,:,1.662029,0.043272,2.431352
600547-600111,1.004675,-0.284101,0.027830,:,1.542428,0.071570,4.302404
600547-000878,0.965856,0.855725,0.029605,:,1.797536,0.035517,4.944010
600547-600104,0.899455,0.497667,0.028380,:,1.591987,0.078385,4.465189
600765-000768,0.868212,0.584825,0.018609,:,1.559038,0.054950,5.857102
000858-000768,0.877695,0.769031,0.028334,:,1.564393,0.098652,3.247512
600739-000878,0.870756,0.997996,0.028520,:,1.718715,0.038827,5.168935
600837-000060,1.010319,0.573653,0.028883,:,1.473552,0.130828,5.747134
000878-000060,0.885693,0.491633,0.020852,:,1.490516,0.173389,3.461164
600104-000060,0.949724,0.928836,0.023041,:,1.576068,0.048886,3.913706
601857-600036,0.717233,0.352007,0.018340,:,1.559982,0.084212,4.942386
601628-000001,1.012500,0.165653,0.027638,:,1.795912,0.037195,3.104525
601628-601166,0.902533,0.622691,0.020907,:,1.611013,0.059564,3.890630
600748-600675,0.859109,0.380390,0.028620,:,1.615608,0.035554,3.418687
600502-600116,0.820433,0.199511,0.028285,:,1.522018,0.086564,3.722315
601857-002142,0.778257,0.326621,0.018202,:,1.581829,0.061407,3.752632
601166-600436,0.910694,-1.855512,0.029696,:,1.744708,0.052191,2.976375
601166-000768,0.836749,0.409489,0.026696,:,1.703142,0.048443,3.168130
000962-000655,0.928876,0.454269,0.028340,:,1.582168,0.060690,3.694261
601166-000001,1.125295,-0.514999,0.020877,:,1.822867,0.036335,3.785738
